model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_lvt_mac,0.0300,0.100,0.000,5,0.5277,1.238120e+02,1.295147e+11,0.71
nch_lvt_mac,0.0300,0.100,0.000,8,0.4481,7.478106e+01,1.345816e+11,1.28
nch_lvt_mac,0.0300,0.100,0.000,10,0.4141,5.513912e+01,1.305383e+11,1.74
nch_lvt_mac,0.0300,0.100,0.000,12,0.3867,4.086522e+01,1.224508e+11,2.24
nch_lvt_mac,0.0300,0.100,0.000,15,0.3518,2.553733e+01,1.039416e+11,3.05
nch_lvt_mac,0.0300,0.100,0.000,18,0.3183,1.471082e+01,7.833798e+10,3.87
nch_lvt_mac,0.0300,0.100,0.000,20,0.2939,9.241507e+00,5.803711e+10,4.38
nch_lvt_mac,0.0300,0.100,0.000,25,0.1970,1.007977e+00,9.461199e+09,5.24
nch_lvt_mac,0.0300,0.100,-0.200,5,0.5371,1.234043e+02,1.292772e+11,0.71
nch_lvt_mac,0.0300,0.100,-0.200,8,0.4572,7.438452e+01,1.341739e+11,1.29
nch_lvt_mac,0.0300,0.100,-0.200,10,0.4231,5.483227e+01,1.301229e+11,1.74
nch_lvt_mac,0.0300,0.100,-0.200,12,0.3956,4.059116e+01,1.220651e+11,2.25
nch_lvt_mac,0.0300,0.100,-0.200,15,0.3607,2.537095e+01,1.037252e+11,3.08
nch_lvt_mac,0.0300,0.100,-0.200,18,0.3275,1.467083e+01,7.845471e+10,3.92
nch_lvt_mac,0.0300,0.100,-0.200,20,0.3034,9.276523e+00,5.848652e+10,4.44
nch_lvt_mac,0.0300,0.100,-0.200,25,0.2100,1.098009e+00,1.034343e+10,5.32
nch_lvt_mac,0.0300,0.200,0.000,5,0.5545,2.147678e+02,2.317356e+11,2.10
nch_lvt_mac,0.0300,0.200,0.000,8,0.4627,1.197933e+02,2.343288e+11,3.84
nch_lvt_mac,0.0300,0.200,0.000,10,0.4223,8.352636e+01,2.212410e+11,4.77
nch_lvt_mac,0.0300,0.200,0.000,12,0.3904,5.884391e+01,1.992990e+11,5.51
nch_lvt_mac,0.0300,0.200,0.000,15,0.3509,3.457333e+01,1.565324e+11,6.35
nch_lvt_mac,0.0300,0.200,0.000,18,0.3141,1.885784e+01,1.081916e+11,6.95
nch_lvt_mac,0.0300,0.200,0.000,20,0.2875,1.138503e+01,7.535412e+10,7.22
nch_lvt_mac,0.0300,0.200,0.000,25,0.1808,9.887180e-01,9.509711e+09,7.37
nch_lvt_mac,0.0300,0.200,-0.200,5,0.5642,2.142683e+02,2.315999e+11,2.10
nch_lvt_mac,0.0300,0.200,-0.200,8,0.4720,1.192678e+02,2.339249e+11,3.86
nch_lvt_mac,0.0300,0.200,-0.200,10,0.4316,8.304304e+01,2.205733e+11,4.81
nch_lvt_mac,0.0300,0.200,-0.200,12,0.3996,5.849466e+01,1.985787e+11,5.57
nch_lvt_mac,0.0300,0.200,-0.200,15,0.3601,3.437316e+01,1.560453e+11,6.45
nch_lvt_mac,0.0300,0.200,-0.200,18,0.3236,1.883077e+01,1.083200e+11,7.08
nch_lvt_mac,0.0300,0.200,-0.200,20,0.2974,1.144032e+01,7.595758e+10,7.37
nch_lvt_mac,0.0300,0.200,-0.200,25,0.1937,1.068822e+00,1.032543e+10,7.51
nch_lvt_mac,0.0300,0.300,0.000,5,0.5638,2.652695e+02,3.082881e+11,4.31
nch_lvt_mac,0.0300,0.300,0.000,8,0.4589,1.365400e+02,2.978381e+11,6.13
nch_lvt_mac,0.0300,0.300,0.000,10,0.4162,9.323461e+01,2.678745e+11,6.88
nch_lvt_mac,0.0300,0.300,0.000,12,0.3833,6.501618e+01,2.323488e+11,7.44
nch_lvt_mac,0.0300,0.300,0.000,15,0.3428,3.772849e+01,1.760773e+11,8.06
nch_lvt_mac,0.0300,0.300,0.000,18,0.3050,2.019665e+01,1.182830e+11,8.46
