model,L_um,Vds,Vbs,gm_id,Vgs,Id_W_A_per_m,ft_Hz,gain_V_V
nch_18_mac,0.1800,0.100,0.000,5,0.7628,2.813075e+01,1.532299e+10,0.72
nch_18_mac,0.1800,0.100,0.000,8,0.6675,1.540855e+01,1.494569e+10,1.40
nch_18_mac,0.1800,0.100,0.000,10,0.6289,1.091479e+01,1.404175e+10,2.03
nch_18_mac,0.1800,0.100,0.000,12,0.5990,7.867374e+00,1.283038e+10,2.83
nch_18_mac,0.1800,0.100,0.000,15,0.5620,4.781334e+00,1.057294e+10,4.40
nch_18_mac,0.1800,0.100,0.000,18,0.5278,2.724159e+00,7.918034e+09,6.34
nch_18_mac,0.1800,0.100,0.000,20,0.5038,1.727779e+00,5.998418e+09,7.74
nch_18_mac,0.1800,0.100,0.000,25,0.4157,2.324155e-01,1.322572e+09,10.85
nch_18_mac,0.1800,0.100,-0.300,5,0.7928,2.814693e+01,1.534783e+10,0.73
nch_18_mac,0.1800,0.100,-0.300,8,0.6975,1.541084e+01,1.496240e+10,1.41
nch_18_mac,0.1800,0.100,-0.300,10,0.6587,1.089354e+01,1.404039e+10,2.05
nch_18_mac,0.1800,0.100,-0.300,12,0.6286,7.832573e+00,1.281522e+10,2.86
nch_18_mac,0.1800,0.100,-0.300,15,0.5913,4.742362e+00,1.056097e+10,4.45
nch_18_mac,0.1800,0.100,-0.300,18,0.5572,2.707276e+00,7.944936e+09,6.38
nch_18_mac,0.1800,0.100,-0.300,20,0.5335,1.728681e+00,6.074640e+09,7.75
nch_18_mac,0.1800,0.100,-0.300,25,0.4507,2.616622e-01,1.511346e+09,10.78
nch_18_mac,0.1800,0.200,0.000,5,0.8001,5.016068e+01,2.821243e+10,2.39
nch_18_mac,0.1800,0.200,0.000,8,0.6953,2.578815e+01,2.491527e+10,5.57
nch_18_mac,0.1800,0.200,0.000,10,0.6489,1.702402e+01,2.163987e+10,7.93
nch_18_mac,0.1800,0.200,0.000,12,0.6125,1.143036e+01,1.838530e+10,10.07
nch_18_mac,0.1800,0.200,0.000,15,0.5687,6.341647e+00,1.389471e+10,12.71
nch_18_mac,0.1800,0.200,0.000,18,0.5305,3.379491e+00,9.785189e+09,14.79
nch_18_mac,0.1800,0.200,0.000,20,0.5046,2.073616e+00,7.183500e+09,15.88
nch_18_mac,0.1800,0.200,0.000,25,0.4132,2.589758e-01,1.479650e+09,17.72
nch_18_mac,0.1800,0.200,-0.300,5,0.8304,5.014234e+01,2.819522e+10,2.41
nch_18_mac,0.1800,0.200,-0.300,8,0.7253,2.572011e+01,2.484867e+10,5.60
nch_18_mac,0.1800,0.200,-0.300,10,0.6785,1.691646e+01,2.152388e+10,7.94
nch_18_mac,0.1800,0.200,-0.300,12,0.6417,1.130704e+01,1.824718e+10,10.03
nch_18_mac,0.1800,0.200,-0.300,15,0.5976,6.258112e+00,1.379125e+10,12.61
nch_18_mac,0.1800,0.200,-0.300,18,0.5596,3.340986e+00,9.772036e+09,14.63
nch_18_mac,0.1800,0.200,-0.300,20,0.5342,2.067924e+00,7.251200e+09,15.70
nch_18_mac,0.1800,0.200,-0.300,25,0.4482,2.924156e-01,1.694668e+09,17.54
nch_18_mac,0.1800,0.300,0.000,5,0.8201,6.352822e+01,3.592842e+10,5.59
nch_18_mac,0.1800,0.300,0.000,8,0.7002,2.970544e+01,2.873378e+10,10.35
nch_18_mac,0.1800,0.300,0.000,10,0.6500,1.896352e+01,2.414035e+10,12.85
nch_18_mac,0.1800,0.300,0.000,12,0.6119,1.250073e+01,2.015172e+10,14.89
nch_18_mac,0.1800,0.300,0.000,15,0.5670,6.836165e+00,1.501881e+10,17.31
nch_18_mac,0.1800,0.300,0.000,18,0.5281,3.603113e+00,1.047741e+10,19.13
nch_18_mac,0.1800,0.300,0.000,20,0.5018,2.188253e+00,7.640219e+09,20.03
nch_18_mac,0.1800,0.300,0.000,25,0.4098,2.683007e-01,1.546022e+09,21.40
nch_18_mac,0.1800,0.300,-0.300,5,0.8501,6.334724e+01,3.580720e+10,5.62
nch_18_mac,0.1800,0.300,-0.300,8,0.7299,2.956453e+01,2.859639e+10,10.31
nch_18_mac,0.1800,0.300,-0.300,10,0.6794,1.881746e+01,2.397516e+10,12.75
nch_18_mac,0.1800,0.300,-0.300,12,0.6410,1.234978e+01,1.997784e+10,14.74
nch_18_mac,0.1800,0.300,-0.300,15,0.5958,6.740417e+00,1.489986e+10,17.08
nch_18_mac,0.1800,0.300,-0.300,18,0.5571,3.565384e+00,1.046648e+10,18.86
nch_18_mac,0.1800,0.300,-0.300,20,0.5313,2.183235e+00,7.718326e+09,19.75
nch_18_mac,0.1800,0.300,-0.300,25,0.4446,3.051444e-01,1.778114e+09,21.15
nch_18_mac,0.1800,0.400,0.000,5,0.8249,6.976966e+01,3.951726e+10,9.06
nch_18_mac,0.1800,0.400,0.000,8,0.6995,3.155162e+01,3.056611e+10,14.21
nch_18_mac,0.1800,0.400,0.000,10,0.6485,1.998354e+01,2.548302e+10,16.70
nch_18_mac,0.1800,0.400,0.000,12,0.6098,1.308576e+01,2.118458e+10,18.69
nch_18_mac,0.1800,0.400,0.000,15,0.5645,7.131232e+00,1.573655e+10,21.00
nch_18_mac,0.1800,0.400,0.000,18,0.5253,3.739633e+00,1.093560e+10,22.67
nch_18_mac,0.1800,0.400,0.000,20,0.4988,2.254656e+00,7.942128e+09,23.45
nch_18_mac,0.1800,0.400,0.000,25,0.4062,2.754621e-01,1.597380e+09,24.52
nch_18_mac,0.1800,0.400,-0.300,5,0.8547,6.948814e+01,3.933378e+10,9.04
nch_18_mac,0.1800,0.400,-0.300,8,0.7292,3.138690e+01,3.040018e+10,14.09
nch_18_mac,0.1800,0.400,-0.300,10,0.6777,1.981807e+01,2.529531e+10,16.50
nch_18_mac,0.1800,0.400,-0.300,12,0.6388,1.293879e+01,2.099778e+10,18.43
nch_18_mac,0.1800,0.400,-0.300,15,0.5933,7.026954e+00,1.561062e+10,20.66
nch_18_mac,0.1800,0.400,-0.300,18,0.5543,3.700436e+00,1.092906e+10,22.30
nch_18_mac,0.1800,0.400,-0.300,20,0.5282,2.254001e+00,8.031908e+09,23.08
nch_18_mac,0.1800,0.400,-0.300,25,0.4412,3.113780e-01,1.831793e+09,24.20
nch_18_mac,0.1800,0.500,0.000,5,0.8251,7.320315e+01,4.151093e+10,12.26
nch_18_mac,0.1800,0.500,0.000,8,0.6978,3.272039e+01,3.174878e+10,17.57
nch_18_mac,0.1800,0.500,0.000,10,0.6463,2.065956e+01,2.641226e+10,20.04
nch_18_mac,0.1800,0.500,0.000,12,0.6075,1.351392e+01,2.194307e+10,21.99
nch_18_mac,0.1800,0.500,0.000,15,0.5620,7.329578e+00,1.628196e+10,24.22
nch_18_mac,0.1800,0.500,0.000,18,0.5225,3.827853e+00,1.128995e+10,25.77
nch_18_mac,0.1800,0.500,0.000,20,0.4957,2.302443e+00,8.178498e+09,26.45
nch_18_mac,0.1800,0.500,0.000,25,0.4029,2.791601e-01,1.635052e+09,27.28
nch_18_mac,0.1800,0.500,-0.300,5,0.8548,7.287578e+01,4.129784e+10,12.19
nch_18_mac,0.1800,0.500,-0.300,8,0.7273,3.253688e+01,3.156330e+10,17.37
nch_18_mac,0.1800,0.500,-0.300,10,0.6755,2.047801e+01,2.620665e+10,19.75
nch_18_mac,0.1800,0.500,-0.300,12,0.6364,1.335470e+01,2.174213e+10,21.62
nch_18_mac,0.1800,0.500,-0.300,15,0.5906,7.217807e+00,1.614979e+10,23.77
nch_18_mac,0.1800,0.500,-0.300,18,0.5515,3.787525e+00,1.128726e+10,25.29
nch_18_mac,0.1800,0.500,-0.300,20,0.5252,2.303958e+00,8.278005e+09,25.98
nch_18_mac,0.1800,0.500,-0.300,25,0.4378,3.161279e-01,1.877707e+09,26.89
nch_18_mac,0.1800,0.600,0.000,5,0.8238,7.545273e+01,4.283740e+10,15.19
nch_18_mac,0.1800,0.600,0.000,8,0.6956,3.354716e+01,3.263209e+10,20.57
nch_18_mac,0.1800,0.600,0.000,10,0.6440,2.114721e+01,2.714429e+10,23.00
nch_18_mac,0.1800,0.600,0.000,12,0.6052,1.382907e+01,2.256446e+10,24.90
nch_18_mac,0.1800,0.600,0.000,15,0.5595,7.476126e+00,1.674448e+10,27.05
nch_18_mac,0.1800,0.600,0.000,18,0.5198,3.886510e+00,1.159197e+10,28.50
nch_18_mac,0.1800,0.600,0.000,20,0.4927,2.331768e+00,8.378452e+09,29.10
nch_18_mac,0.1800,0.600,0.000,25,0.3998,2.804674e-01,1.662318e+09,29.76
nch_18_mac,0.1800,0.600,-0.300,5,0.8534,7.509899e+01,4.260539e+10,15.06
nch_18_mac,0.1800,0.600,-0.300,8,0.7250,3.334814e+01,3.242761e+10,20.28
nch_18_mac,0.1800,0.600,-0.300,10,0.6730,2.095103e+01,2.692005e+10,22.61
nch_18_mac,0.1800,0.600,-0.300,12,0.6339,1.365842e+01,2.234887e+10,24.42
nch_18_mac,0.1800,0.600,-0.300,15,0.5881,7.378911e+00,1.661254e+10,26.50
nch_18_mac,0.1800,0.600,-0.300,18,0.5487,3.855083e+00,1.159736e+10,27.93
nch_18_mac,0.1800,0.600,-0.300,20,0.5222,2.335245e+00,8.489040e+09,28.55
nch_18_mac,0.1800,0.600,-0.300,25,0.4346,3.195281e-01,1.916611e+09,29.29
nch_18_mac,0.1800,0.700,0.000,5,0.8221,7.707831e+01,4.383508e+10,17.86
nch_18_mac,0.1800,0.700,0.000,8,0.6934,3.416801e+01,3.336642e+10,23.23
nch_18_mac,0.1800,0.700,0.000,10,0.6416,2.151492e+01,2.777597e+10,25.62
nch_18_mac,0.1800,0.700,0.000,12,0.6028,1.406898e+01,2.311142e+10,27.48
nch_18_mac,0.1800,0.700,0.000,15,0.5570,7.611451e+00,1.716080e+10,29.56
nch_18_mac,0.1800,0.700,0.000,18,0.5171,3.945322e+00,1.186098e+10,30.92
nch_18_mac,0.1800,0.700,0.000,20,0.4900,2.347941e+00,8.549005e+09,31.45
nch_18_mac,0.1800,0.700,0.000,25,0.3967,2.829993e-01,1.689196e+09,31.98
nch_18_mac,0.1800,0.700,-0.300,5,0.8515,7.670634e+01,4.358533e+10,17.66
nch_18_mac,0.1800,0.700,-0.300,8,0.7227,3.395481e+01,3.314145e+10,22.85
nch_18_mac,0.1800,0.700,-0.300,10,0.6706,2.130466e+01,2.753432e+10,25.13
nch_18_mac,0.1800,0.700,-0.300,12,0.6315,1.388716e+01,2.288484e+10,26.90
nch_18_mac,0.1800,0.700,-0.300,15,0.5856,7.509830e+00,1.702976e+10,28.91
nch_18_mac,0.1800,0.700,-0.300,18,0.5460,3.914251e+00,1.187693e+10,30.25
nch_18_mac,0.1800,0.700,-0.300,20,0.5194,2.356207e+00,8.675210e+09,30.82
nch_18_mac,0.1800,0.700,-0.300,25,0.4316,3.206657e-01,1.944352e+09,31.43
nch_18_mac,0.1800,0.800,0.000,5,0.8200,7.832502e+01,4.466612e+10,20.28
nch_18_mac,0.1800,0.800,0.000,8,0.6910,3.465101e+01,3.401630e+10,25.62
nch_18_mac,0.1800,0.800,0.000,10,0.6393,2.181745e+01,2.834120e+10,27.95
nch_18_mac,0.1800,0.800,0.000,12,0.6005,1.425455e+01,2.359696e+10,29.77
nch_18_mac,0.1800,0.800,0.000,15,0.5547,7.717028e+00,1.752687e+10,31.79
nch_18_mac,0.1800,0.800,0.000,18,0.5146,3.988138e+00,1.209250e+10,33.07
nch_18_mac,0.1800,0.800,0.000,20,0.4872,2.369966e+00,8.698747e+09,33.55
